package,import_name,layer,framework,down_pkgs,gh_downstream,woc_downstream,comb_downstream
ocr4all-pixel-classifier,ocr4all_pixel_classifier,2,tensorflow,2,0,5,5
modelutils,modelutils,2,tensorflow,0,0,42,42
dffml-model-tensorflow,dffml_model_tensorflow,2,tensorflow,1,1,2,2
kimrec,kimrec,2,tensorflow,0,0,0,0
pysmeter,pysmeter,2,tensorflow,0,0,1,1
fgp-cert,fgp,2,tensorflow,0,0,6,6
KoreanC4,,2,tensorflow,0,0,0,0
trVAE,trvae,2,tensorflow,0,2,3,5
snntoolbox,snntoolbox,2,tensorflow,0,6,20,25
keras-lmu,keras_lmu,2,tensorflow,1,0,2,2
video-facenet,video_facenet,2,tensorflow,0,0,1,1
canaro,canaro,3,tensorflow,0,16,4,18
canaro,canaro,2,tensorflow,0,16,4,18
aursad,aursad,2,tensorflow,0,0,0,0
sandblox,sandblox,2,tensorflow,0,0,3,3
seqeval,seqeval,2,tensorflow,41,2596,1232,3357
seqeval,seqeval,3,tensorflow,41,2596,1232,3357
phylodeep,phylodeep,2,tensorflow,0,0,0,0
EELSFitter,EELSFitter,2,tensorflow,0,0,0,0
tf2-vgpu,tf2_vgpu,2,tensorflow,0,1,2,2
rsnsfw,rsnsfw,2,tensorflow,0,0,0,0
aitk.networks,aitk,2,tensorflow,1,0,3,3
watsor,watsor,2,tensorflow,0,0,1,1
gpam-ml-lib,gpam_ml_lib,2,tensorflow,0,0,0,0
deepcola,cola,2,tensorflow,0,0,157,157
tokenizer-tools,tokenizer_tools,2,tensorflow,10,0,30,30
ivystar,ivystar,2,tensorflow,1,0,0,0
ivystar,ivystar,3,tensorflow,1,0,0,0
tensorflowjs,,2,tensorflow,10,0,0,0
text-autoencoder,text_autoencoder,2,tensorflow,0,0,2,2
sugartime,sugartime,3,tensorflow,0,0,1,1
kassandra,kassandra,2,tensorflow,0,0,1,1
gansdojo,gansdojo,2,tensorflow,0,0,1,1
anomaly-detection-models,anomaly_detection_models,3,tensorflow,0,0,1,1
anomaly-detection-models,anomaly_detection_models,2,tensorflow,0,0,1,1
brainlit,brainlit,2,tensorflow,0,0,2,2
CTRs,ctrs,2,tensorflow,0,0,2,2
odin-ai,odin,2,tensorflow,1,1,93,93
companyClassifier,companyClassifier,2,tensorflow,0,0,0,0
dart-fss-classifier,dart_fss_classifier,2,tensorflow,0,0,1,1
bert-multitask-learning,bert_multitask_learning,2,tensorflow,0,0,4,4
bert-multitask-learning,bert_multitask_learning,4,tensorflow,0,0,4,4
bert-multitask-learning,bert_multitask_learning,3,tensorflow,0,0,4,4
dreamsound-fdch,,2,tensorflow,0,0,0,0
dimae,dimae,2,tensorflow,0,0,4,4
npsn,npsn,2,tensorflow,0,0,1,1
grr-profiler,,2,tensorflow,0,0,0,0
BranchedGP,BranchedGP,3,tensorflow,0,0,1,1
BranchedGP,BranchedGP,2,tensorflow,0,0,1,1
gclassifier,gclassifier,2,tensorflow,0,0,0,0
stardist-napari,stardist_napari,2,tensorflow,1,35,0,35
tweetynet,tweetynet,3,tensorflow,0,0,1,1
GenericNeuralAssistant,,2,tensorflow,0,0,0,0
GenericNeuralAssistant,,3,tensorflow,0,0,0,0
bigbert,bigbert,2,tensorflow,0,0,0,0
rasa-hydra,,2,tensorflow,0,0,0,0
lukai,lukai,3,tensorflow,0,0,2,2
lukai,lukai,2,tensorflow,0,0,2,2
medgeconv,medgeconv,2,tensorflow,0,0,2,2
spektral,spektral,2,tensorflow,2,84,97,167
pyloa,pyloa,2,tensorflow,0,0,1,1
omolab-conf-analysis,,2,tensorflow,0,0,0,0
ai-trainer,,2,tensorflow,0,0,0,0
convo-nl2,,3,tensorflow,0,0,0,0
convo-nl2,,2,tensorflow,0,0,0,0
luminoth,luminoth,2,tensorflow,0,0,40,40
bb-profiler,,2,tensorflow,0,0,0,0
PyTransdec,pytransdec,3,tensorflow,0,0,2,2
tensorflow-ranking,tensorflow_ranking,3,tensorflow,2,0,55,55
tensorflow-ranking,tensorflow_ranking,2,tensorflow,2,0,55,55
logouslibrary,logous,2,tensorflow,0,0,0,0
keras-trainer,keras_trainer,3,tensorflow,0,0,7,7
trainingbar,trainingbar,2,tensorflow,0,0,1,1
deepoffense,deepoffense,3,tensorflow,0,2,1,3
gym-jiminy,gym_jiminy,3,tensorflow,0,0,1,1
nonlincausality,nonlincausality,2,tensorflow,0,1,0,1
DialogTag,dialog_tag,2,tensorflow,0,0,0,0
tensorflow-data-validation,tensorflow_data_validation,3,tensorflow,9,255,129,348
tensorflow-data-validation,tensorflow_data_validation,2,tensorflow,9,255,129,348
phasespace,phasespace,3,tensorflow,1,0,19,19
phasespace,phasespace,2,tensorflow,1,0,19,19
evxpredictor,evxpredictor,2,tensorflow,0,0,0,0
benlib,,2,tensorflow,0,0,0,0
poetic-py,poetic,2,tensorflow,0,0,4,4
MindsDB,mindsdb,2,tensorflow,0,0,18,18
rbm3,rbm3,2,tensorflow,0,0,0,0
jovsatools,jovsatools,2,tensorflow,0,0,2,2
convo-latest,,3,tensorflow,0,0,0,0
convo-latest,,2,tensorflow,0,0,0,0
hybrid-vocal-classifier,,2,tensorflow,0,0,0,0
email-txt-classification,,2,tensorflow,0,0,0,0
email-txt-classification,,3,tensorflow,0,0,0,0
delft-physics-lab,delft_physics_lab,2,tensorflow,0,0,0,0
libtlda,libtlda,3,tensorflow,0,2,13,14
libtlda,libtlda,2,tensorflow,0,2,13,14
neural-art,,2,tensorflow,0,0,0,0
pyspace-toolkit,pyspace,2,tensorflow,0,0,14,14
pyspace-toolkit,pyspace,3,tensorflow,0,0,14,14
ptcn,,2,tensorflow,0,0,0,0
snowpy,snowpy,3,tensorflow,0,0,2,2
flass,flass,2,tensorflow,0,0,2,2
punctuator-ice,,2,tensorflow,0,0,0,0
cellunet,,2,tensorflow,0,0,0,0
rasa-extractors,,3,tensorflow,0,0,0,0
pyabsa,pyabsa,3,tensorflow,0,0,0,0
dreamsound,dreamsound,2,tensorflow,0,0,0,0
pandas-tfrecords,pandas_tfrecords,2,tensorflow,0,1,2,3
OSKut,oskut,2,tensorflow,0,3,0,3
ctextinct,ctextinctPackage,2,tensorflow,0,0,0,0
causalml,,2,tensorflow,1,23,0,23
tf-madgrad,madgrad,2,tensorflow,0,1,1,2
graphembedding,,2,tensorflow,0,0,0,0
tfseg,tfseg,2,tensorflow,0,0,1,1
greenotyper,greenotyperAPI,2,tensorflow,0,0,1,1
greenotyper,greenotyperAPI,3,tensorflow,0,0,1,1
ganify,ganify,2,tensorflow,0,0,1,1
pyVHR,pyVHR,2,tensorflow,0,3,2,3
legal-doc-processing,legal_doc_processing,2,tensorflow,0,0,0,0
beacon-trellis,trellis,2,tensorflow,0,0,40,40
sknlp,,3,tensorflow,0,0,0,0
sknlp,,2,tensorflow,0,0,0,0
waymo-open-dataset-tf-2-6-0,,2,tensorflow,0,0,0,0
cgm-3d-cnn,train_test,2,tensorflow,0,0,271,271
NLP-LIB,NLP_LIB,2,tensorflow,0,0,1,1
nn_wtf,nn_wtf,2,tensorflow,0,0,3,3
pyhumour,pyhumour,3,tensorflow,0,0,0,0
pyhumour,pyhumour,2,tensorflow,0,0,0,0
oyou,oyou,2,tensorflow,0,1,3,3
aidkit-cli,,2,tensorflow,0,0,0,0
allestm,allestm,2,tensorflow,0,0,1,1
text-ppf,text_ppf,2,tensorflow,0,0,0,0
ntap,ntap,2,tensorflow,0,0,4,4
datasetinsights,,2,tensorflow,0,0,0,0
neoepiscope,neoepiscope,3,tensorflow,0,0,4,4
ml-playground-attention,,2,tensorflow,0,0,0,0
pornstar,pornstar,2,tensorflow,0,0,3,3
vtorch,vtorch,2,tensorflow,0,0,0,0
shapeguard,,2,tensorflow,0,0,0,0
transfer,,2,tensorflow,0,0,0,0
fonduer,fonduer,2,tensorflow,0,11,21,25
fonduer,fonduer,3,tensorflow,0,11,21,25
aidkit,,2,tensorflow,0,0,0,0
Omnis,omnis,2,tensorflow,0,0,3,3
StockFast,,2,tensorflow,0,0,0,0
DataProfiler,dataprofiler,2,tensorflow,0,4,1,5
labelocr,labelocr,2,tensorflow,0,0,1,1
tensorspacejs,tensorspacejs,2,tensorflow,0,0,1,1
tensorspacejs,tensorspacejs,3,tensorflow,0,0,1,1
lightelligence-sdk,lt_sdk,2,tensorflow,0,0,2,2
vtmm,vtmm,2,tensorflow,0,0,1,1
subtitle-sync,,2,tensorflow,0,0,0,0
aidkitcli,,2,tensorflow,0,0,0,0
DRL-keras,,2,tensorflow,0,0,0,0
marcelle,marcelle,3,tensorflow,0,0,0,0
marcelle,marcelle,2,tensorflow,0,0,0,0
stable-baselines,stable_baselines,2,tensorflow,4,0,1786,1786
pyapetnet,pyapetnet,2,tensorflow,0,0,1,1
face-compare,face_compare,2,tensorflow,0,2,23,25
deepspace,deepspace,3,tensorflow,0,2,8,8
plato-learn,plato,2,tensorflow,0,1,40,41
